01. Ano,02. Nome Região (Portugal),03. Âmbito Geográfico,04. Filtro 1,05. Filtro 2,06. Filtro 3,07. Escala,08. Símbolo,09. Valor
2005,Portugal,,Cursos Tecnológicos e Profissionais,10º ano,,,,46.7
2005,Portugal,,Cursos Tecnológicos e Profissionais,11º ano,,,,25.1
2005,Portugal,,Cursos Tecnológicos e Profissionais,12º ano,,,,57.0
2005,Portugal,,Cursos Tecnológicos e Profissionais,Total,,,,44.0
2005,Portugal,,Total,10º ano,,,,29.5
2005,Portugal,,Total,11º ano,,,,15.9
2005,Portugal,,Total,12º ano,,,,49.4
2005,Portugal,,Total,Total,,,,32.1
2006,Portugal,,Cursos Gerais,10º ano,,,,21.2
2006,Portugal,,Cursos Gerais,11º ano,,,,17.9
2006,Portugal,,Cursos Gerais,12º ano,,,,47.7
2006,Portugal,,Cursos Gerais,Total,,,,29.8
2006,Portugal,,Cursos Tecnológicos e Profissionais,10º ano,,,,41.0
2006,Portugal,,Cursos Tecnológicos e Profissionais,11º ano,,,,21.1
2006,Portugal,,Cursos Tecnológicos e Profissionais,12º ano,,,,44.3
2006,Portugal,,Cursos Tecnológicos e Profissionais,Total,,,,35.6
2006,Portugal,,Total,10º ano,,,,25.9
2006,Portugal,,Total,11º ano,,,,18.6
2006,Portugal,,Total,12º ano,,,,47.1
2006,Portugal,,Total,Total,,,,31.1
2007,Portugal,,Cursos Gerais,10º ano,,,,17.8
2007,Portugal,,Cursos Gerais,11º ano,,,,16.1
2007,Portugal,,Cursos Gerais,12º ano,,,,36.8
2007,Portugal,,Cursos Gerais,Total,,,,23.9
2007,Portugal,,Cursos Tecnológicos e Profissionais,10º ano,,,,33.4
2007,Portugal,,Cursos Tecnológicos e Profissionais,11º ano,,,,15.6
2007,Portugal,,Cursos Tecnológicos e Profissionais,12º ano,,,,37.3
2007,Portugal,,Cursos Tecnológicos e Profissionais,Total,,,,29.1
2007,Portugal,,Total,10º ano,,,,20.3
2007,Portugal,,Total,11º ano,,,,16.0
2007,Portugal,,Total,12º ano,,,,36.9
2007,Portugal,,Total,Total,,,,24.8
2008,Portugal,,Cursos Gerais,10º ano,,,,17.6
2008,Portugal,,Cursos Gerais,11º ano,,,,11.8
2008,Portugal,,Cursos Gerais,12º ano,,,,32.6
2008,Portugal,,Cursos Gerais,Total,,,,20.3
2008,Portugal,,Cursos Tecnológicos e Profissionais,10º ano,,,,30.1
2008,Portugal,,Cursos Tecnológicos e Profissionais,11º ano,,,,13.0
2008,Portugal,,Cursos Tecnológicos e Profissionais,12º ano,,,,33.5
2008,Portugal,,Cursos Tecnológicos e Profissionais,Total,,,,26.1
2008,Portugal,,Total,10º ano,,,,18.5
2008,Portugal,,Total,11º ano,,,,11.9
2008,Portugal,,Total,12º ano,,,,32.7
2008,Portugal,,Total,Total,,,,21.0
2009,Portugal,,Cursos gerais,10º ano,,,x,
